1850	los	800.01795833333	800	4450	4369
1850	los	800.01795833333	801	4488	4335
1850	win	800.01795833333	817	4250	4313
1850	los	800.01795833333	817	4347	4291
1850	win	800.01795833333	832	4357	4281
1850	win	800.01795833333	846	4417	4285
1850	win	800.01795833333	860	4354	4259
1850	los	800.01795833333	860	4883	4830
1850	los	800.01795833333	861	4898	4833
1850	los	800.01795833333	861	4889	4827
1850	los	800.01795833333	862	4833	4748
1850	los	800.01795833333	863	4807	4731
1850	win	800.01795833333	878	4715	4824
1850	los	800.01795833333	879	4808	4724
1850	los	800.01795833333	880	4833	4729
1850	los	800.01795833333	882	5605	5349
1850	los	800.01795833333	882	5321	5243
1850	los	800.01795833333	883	5402	5252
1850	los	800.01795833333	884	5237	5159
1850	los	800.01795833333	884	5253	5175
1850	los	800.01795833333	885	5300	5167
1850	los	800.01795833333	887	5301	5105
1850	win	800.01795833333	903	5150	5359
1850	los	800.01795833333	904	5244	5142
1850	los	800.01795833333	905	5286	5175
1850	los	800.01795833333	906	5526	5370
1850	win	800.01795833333	923	5353	5531
1850	los	800.01795833333	924	5520	5377
1850	los	800.01795833333	925	5509	5327
1850	los	800.01795833333	926	5400	5311
1850	los	800.01795833333	927	5455	5331
1850	win	800.01795833333	943	5308	5444
1850	los	800.01795833333	943	5480	5375
1850	los	800.01795833333	944	5550	5402
1850	los	800.01795833333	946	5605	5422
1850	los	800.01795833333	947	5640	5440
1850	los	800.01795833333	949	5574	5419
1850	win	800.01795833333	962	5461	5314
1850	win	800.01795833333	976	5530	5320
1850	los	800.01795833333	975	5315	5444
1850	los	800.01795833333	974	5416	5525
1850	los	800.01795833333	973	5445	5518
1850	win	800.01795833333	987	5474	5317
1850	127万	43	43	6	800	987
1851	153万	38	38	2	800	1042
1852	159万	63	63	2	800	1049
1853	149万	52	52	7	800	993
1854	146万	52	57	14	800	969
1855	158万	54	54	2	800	1037
1856	156万	47	47	1	800	1085
1857	188万	61	61	0	801	1202
1858	174万	65	65	1	801	1114
1859	168万	61	61	0	801	1157
1860	145万	59	59	1	801	1174
1861	162万	46	46	1	801	1144
1862	180万	71	71	1	801	1211
1863	175万	53	53	3	801	1103
1864	159万	59	59	1	801	1148
1865	148万	57	57	1	802	1168
1866	156万	65	65	0	802	1163
1867	164万	64	64	2	802	1067
1868	147万	39	39	10	802	976
1869	138万	50	50	5	802	990
1870	183万	67	67	1	802	1055
1871	138万	67	67	0	802	1168
1872	153万	65	65	1	802	1172
1873	157万	71	71	0	802	1164
1874	147万	62	62	4	803	1157
1875	165万	58	58	2	803	1082
1876	166万	52	52	2	803	1103
1877	174万	71	71	0	803	1162
1878	185万	74	74	0	803	1241
1879	151万	33	33	8	803	1040
1880	151万	66	66	0	803	1195
1881	174万	70	70	0	804	1262
1882	157万	55	55	1	804	1152
1883	164万	29	29	1	804	993
1884	153万	56	56	1	804	1129
1885	183万	61	61	2	804	1069
1886	174万	45	45	1	804	1035
1887	183万	65	65	1	804	1198
1888	171万	53	53	0	804	1142
1889	180万	71	71	1	804	1166
1890	205万	66	66	0	804	1284
1891	191万	65	65	1	804	1153
1892	179万	61	61	0	804	1129
1893	187万	61	61	1	804	1181
1894	185万	55	55	3	804	1068
1895	170万	65	65	0	804	1180
1896	191万	70	70	1	804	1280
1897	163万	44	44	1	804	1154
1898	193万	62	62	0	805	1237
1899	163万	56	56	1	805	1110
1900	170万	58	58	0	805	1132
1901	178万	71	71	0	805	1184
1902	168万	31	31	74	805	887
1903	199万	59	59	0	805	1153
1904	172万	58	58	1	805	1157
1905	165万	50	50	1	805	1185
1906	168万	64	64	0	805	1207
1907	152万	62	62	0	805	1101
1908	170万	41	41	2	805	1023
1909	159万	58	58	2	806	1117
1910	155万	43	43	6	806	1040
1911	166万	48	48	1	806	1122
1912	169万	51	51	3	806	1154
1913	190万	56	56	3	806	1151
1914	160万	63	63	2	806	1124
1915	193万	50	50	4	806	1110
1916	171万	54	54	0	806	1158
1917	155万	72	72	0	806	1262
1918	164万	51	51	1	806	1077
1919	202万	68	68	2	806	1238
1920	177万	56	56	1	806	1105
1921	198万	74	74	1	807	1114
1922	166万	62	62	0	807	1155
1923	173万	48	48	0	807	1125
1924	193万	55	55	1	807	1251
1925	169万	55	55	2	807	1091
1926	179万	69	69	0	807	1274
1927	215万	64	64	0	807	1279
1928	207万	51	51	3	807	1142
1929	168万	57	57	1	808	1192
1930	178万	44	44	5	808	1016
1931	198万	54	54	2	808	1197
1932	180万	52	52	0	808	1176
1933	180万	56	56	1	808	1118
1934	211万	62	62	0	808	1170
1935	179万	54	54	2	808	1101
1936	174万	57	57	1	808	1141
1937	176万	61	61	0	808	1180
1938	197万	58	58	0	808	1178
1939	174万	60	60	0	808	1215
1940	200万	65	65	2	808	1202
1941	215万	65	65	1	809	1118
1942	207万	59	59	0	809	1136
1943	189万	57	57	0	809	1202
1944	187万	68	68	0	809	1212
1945	169万	48	48	1	809	1120
1946	183万	44	44	1	809	1152
1947	195万	64	64	0	809	1213
1948	205万	61	61	1	809	1213
1949	180万	76	76	0	809	1223
1950	173万	58	58	1	809	1102
1951	204万	60	60	0	809	1237
1952	164万	58	58	0	809	1137
1953	202万	49	49	0	810	1033
1954	207万	68	68	0	810	1253
1955	205万	64	64	2	810	1228
1956	180万	58	58	0	810	1245
1957	177万	66	66	1	810	1189
1958	218万	52	52	1	810	1134
1959	213万	62	62	0	810	1214
1960	166万	50	50	0	810	1158
1961	195万	60	60	0	810	1236
1962	182万	69	69	2	810	1273
1963	199万	62	62	0	811	1166
1964	170万	50	50	1	811	1218
1965	191万	57	57	1	811	1190
1966	170万	46	46	3	811	1089
1967	214万	70	70	0	811	1229
1968	183万	47	47	0	811	1197
1969	203万	65	65	1	811	1159
1970	186万	61	61	1	811	1210
1971	208万	47	47	5	811	1109
1972	199万	65	65	0	811	1238
1973	193万	43	43	3	811	1025
1974	212万	61	61	0	811	1237
1975	217万	70	70	0	811	1240
1976	209万	52	52	1	811	1150
1977	196万	47	47	4	812	1077
1978	184万	56	56	1	812	1144
1979	187万	53	53	2	812	1133
1980	203万	59	59	0	812	1201
1981	178万	25	27	16	812	947
1982	206万	46	46	1	812	1164
1983	203万	49	49	1	812	1125
1984	200万	33	33	2	812	1063
1985	185万	55	55	1	812	1180
1986	206万	59	59	2	812	1110
1987	195万	57	57	1	812	1156
1988	210万	48	48	2	812	1193
1989	175万	33	33	2	813	983
1990	193万	50	50	0	813	1174
1991	177万	48	48	0	813	1142
1992	227万	60	60	2	813	1293
1993	212万	60	60	2	813	1138
1994	229万	62	62	0	813	1198
1995	206万	60	60	2	813	1140
1996	219万	55	55	0	813	1189
1997	212万	67	67	0	814	1155
1998	209万	52	52	2	814	1059
1999	214万	59	59	3	814	1185
2000	204万	58	58	0	814	1130
2001	224万	58	58	1	814	1264
2002	229万	64	64	1	814	1203
2003	203万	64	64	0	814	1244
2004	229万	49	49	2	814	1131
2005	212万	61	61	1	814	1195
2006	197万	58	58	2	814	1134
2007	216万	47	47	1	814	1171
2008	214万	55	55	0	815	1163
2009	213万	59	59	2	815	1106
2010	220万	66	67	1	815	1121
2011	201万	54	54	1	815	1122
2012	209万	35	35	3	815	1096
2013	203万	65	65	0	815	1258
2014	223万	58	58	1	815	1173
2015	214万	57	57	0	815	1219
2016	235万	40	40	4	815	1088
2017	210万	70	70	0	815	1267
2018	194万	62	62	1	815	1191
2019	217万	62	62	0	815	1302
2020	227万	53	53	2	815	1194
2021	260万	67	67	0	815	1240
2022	178万	46	46	3	815	1084
2023	219万	43	43	1	815	1128
2024	190万	58	58	1	815	1227
2025	215万	63	63	0	816	1201
2026	217万	55	55	1	816	1179
2027	231万	60	60	1	816	1158
2028	222万	61	61	1	816	1267
2029	226万	45	45	1	816	1155
2030	186万	59	59	1	816	1158
2031	214万	39	42	3	816	1039
2032	174万	76	76	1	816	1264
2033	203万	63	63	0	816	1261
2034	251万	59	59	0	817	1281
2035	232万	57	57	1	817	1252
2036	195万	52	52	0	817	1202
2037	204万	51	51	2	817	1213
2038	216万	49	49	1	817	1190
2039	195万	53	53	0	817	1188
2040	212万	58	58	1	817	1207
2041	219万	46	46	1	817	1163
2042	242万	55	55	1	817	1204
2043	223万	47	47	0	817	1197
2044	229万	66	66	1	817	1196
2045	196万	63	63	0	817	1240
2046	226万	53	53	0	818	1088
2047	209万	66	66	0	818	1275
2048	248万	56	56	0	818	1212
2049	220万	53	53	1	818	1202
2050	231万	62	62	0	818	1142
2051	217万	59	59	0	818	1201
2052	221万	61	61	0	818	1187
2053	216万	59	59	0	818	1256
2054	219万	65	65	0	818	1196
2055	214万	70	70	0	818	1224
2056	251万	55	55	1	818	1215
2057	221万	59	59	0	818	1176
2058	230万	63	63	0	818	1291
2059	206万	33	33	1	818	1044
2060	211万	58	58	1	818	1159
2061	212万	58	58	1	819	1206
2062	224万	64	64	1	819	1244
2063	251万	63	63	0	819	1282
2064	221万	59	59	1	819	1149
2065	264万	68	68	0	819	1232
2066	202万	56	56	1	819	1154
2067	210万	55	55	2	819	1139
2068	226万	63	63	0	819	1224
